hostname,ip_addr,port,device_type,new_name=
nyc15-console,65.202.157.238,22,linux,nyc15-console
nyc150-Console,24.39.127.222,22,linux,nyc150-console
nyc153-Console,208.253.18.46,22,linux,nyc153-console
nyc22-console,50.74.115.238,22,linux,nyc22-console
nyc28-console,50.74.70.118,22,linux,nyc28-console
nyc72-Console,207.38.204.110,22,linux,nyc72-console
nyc80-console,144.121.211.150,22,linux,nyc80-console
nyc97-console,160.72.162.230,22,linux,nyc97-console
nydc-console,199.47.72.236,22,linux,nydc-console
NYW13-console,208.252.28.142,22,linux,nyc13-console
pdx4-Console,128.177.73.54,22,linux,pdx4-console
phi01-console,65.207.13.166,22,linux,phi1-console
phi03-console,38.140.197.75,22,linux,phi3-console
phi04-console,38.140.197.227,22,linux,phi4-console
PHI06-console,50.229.15.30,22,linux,phi6-console
phx01-Console,4.31.189.38,22,linux,phx1-console
phx02-Console,38.32.109.142,22,linux,phx2-console
phx3-Console,4.14.54.246,22,linux,phx3-console
pxwe-ny01-console,144.121.240.14,22,linux,nyc146-console
qns02-console,65.211.32.158,22,linux,nyc138-console
rdu01-console,4.7.224.46,22,linux,rdu1-console
rdu02-Console,4.34.18.222,22,linux,rdu2-console
sd01-console,184.179.2.91,22,linux,san1-console
sd02-console,32.132.46.134,22,linux,san2-console
sea01-console,50.229.53.46,22,linux,sea1-console
sea02-console,67.135.45.30,22,linux,sea2-console
sea06-console,50.226.133.222,22,linux,sea6-console
sea07-console,50.236.159.222,22,linux,sea7-console
sea10-Console,4.31.103.126,22,linux,sea10-console
sea13-Console,173.226.196.14,22,linux,sea13-console
sea15-Console,4.35.244.38,22,linux,sea15-console
sea19-Console,4.16.172.206,22,linux,sea19-console
sea21-Console,50.233.106.238,22,linux,sea21-console
sf05-console,50.220.196.198,22,linux,sfo5-console
sf06-console,12.207.21.134,22,linux,sfo6-console
sf10-console,4.16.85.222,22,linux,sfo10-console
sf11-console,12.50.145.3,22,linux,sfo11-console
sf13-console,4.15.79.27,22,linux,sfo13-console
sf14-console,64.124.17.14,22,linux,sfo14-console
sf15-console,12.179.92.238,22,linux,sfo15-console
sf16-console,12.10.42.14,22,linux,sfo16-console
sf22-console,12.169.212.254,22,linux,sfo22-console
sf23-Console,12.139.162.67,22,linux,sfo23-console
sf28-console,12.54.197.238,22,linux,sfo28-console
sf29-Console,4.15.77.230,22,linux,sfo29-console
sf31-console,12.186.143.219,22,linux,sfo31-console
sf36-Console,12.219.103.206,22,linux,sfo36-console
sf43b-console,12.207.193.38,22,linux,sfo43b-console
sf47-Console,4.71.45.222,22,linux,sfo47-console
sfo46-Console,12.233.199.150,22,linux,sfo46-console
sfo51-Console,4.53.16.246,22,linux,sfo51-console
sfo54-Console,4.59.222.254,22,linux,sfo54-console
sfo55-Console,50.225.231.46,22,linux,sfo55-console
sfo60-console,32.141.159.142,22,linux,sfo60-console
sj01-console,12.24.214.54,22,linux,sjc1-console
sj05-Console,4.78.242.54,22,linux,sjc5-console
sj06-Console,12.32.73.230,22,linux,sjc6-console
slc01-Console,50.227.80.238,22,linux,slc1-console
slc02-Console,4.35.173.238,22,linux,slc2-console
slc03-Console,4.59.77.222,22,linux,slc3-console
slc6-Console,50.200.93.22,22,linux,slc6-console
slc7-Console,50.236.78.14,22,linux,slc7-console
smf01-Console,128.177.72.246,22,linux,smf1-console
sna2-Console,65.58.243.174,22,linux,sna2-console
STL01-console,4.35.182.238,22,linux,stl1-console
sv02-console,12.133.157.205,22,linux,sfo48-console
tor01-console,66.46.59.22,22,linux,yto1-console
tor05-Console,38.126.149.174,22,linux,yto5-console
tor06-Console,184.94.118.198,22,linux,yto6-console
tor07-Console,38.32.56.38,22,linux,yto7-console
tor09-console,66.46.12.78,22,linux,yto9-console
tor11-console,72.138.70.142,22,linux,yto11-console
TPA01-console,4.53.175.110,22,linux,tpa1-console
van01-Console,38.142.1.29,22,linux,yvr1-console
van02-console,38.88.7.53,22,linux,yvr2-console
van03-Console,184.94.115.173,22,linux,yvr3-console
van04-console,69.58.103.54,22,linux,yvr4-console
van05-Console,72.142.60.206,22,linux,yvr5-console
WAS18-console,50.216.52.46,22,linux,was18-console
was22-console,4.16.157.222,22,linux,was22-console
WAS23-console,65.242.57.14,22,linux,was23-console
was9-console,65.216.132.22,22,linux,was9-console
ymq4-Console,72.138.88.126,22,linux,ymq4-console
yto14-Console,64.125.118.182,22,linux,yto14-console
yto15-console,66.46.152.110,22,linux,yto15-console
yyc1-Console,206.174.218.22,22,linux,yyc1-console
